指标名称,中国:北京:中原领先指数,中国:北京:二手房出售挂牌价指数,中国:北京:二手房出售挂牌量指数,中国:北京:中原报价指数,中国:北京:成交面积(签约):二手房:住宅,中国:北京:成交套数(签约):二手房:住宅,中国:北京:成交套均面积(签约):二手房:住宅,中国:北京:二手住宅租金指数,中国:北京:租金回报率:二手住宅,中国:北京:可售面积:商品房:住宅,中国:北京:批准预售面积:商品房:住宅,中国:北京:供应土地规划建筑面积:住宅类用地,中国:北京:成交土地规划建筑面积:住宅类用地,中国:上海:中原领先指数,中国:上海:二手房出售挂牌价指数,中国:上海:二手房出售挂牌量指数,中国:上海:中原报价指数,中国:上海:成交面积:二手房,中国:上海:成交套数:二手房,中国:上海:成交套均面积:二手房,中国:上海:二手住宅租金指数,中国:上海:租金回报率:二手住宅,中国:上海:可售面积:商品房:住宅,中国:上海:批准预售面积:商品房:住宅,中国:上海:供应土地规划建筑面积:住宅类用地,中国:上海:成交土地规划建筑面积:住宅类用地,中国:深圳:中原领先指数,中国:深圳:二手房出售挂牌价指数,中国:深圳:二手房出售挂牌量指数,中国:深圳:中原报价指数,中国:深圳:成交面积:二手房:住宅,中国:深圳:成交套数:二手房:住宅,中国:深圳:成交套均面积:二手房:住宅,中国:深圳:二手住宅租金指数,中国:深圳:租金回报率:二手住宅,中国:深圳:可售面积:商品房:住宅,中国:深圳:批准预售面积:商品房:住宅,中国:深圳:供应土地规划建筑面积:住宅类用地,中国:深圳:成交土地规划建筑面积:住宅类用地,中国:广州:中原领先指数,中国:广州:二手房出售挂牌价指数,中国:广州:二手房出售挂牌量指数,中国:广州:中原报价指数,中国:广州:成交面积:二手房:住宅,中国:广州:成交套数:二手房:住宅,中国:广州:成交套均面积::二手房:住宅,中国:广州:二手住宅租金指数,中国:广州:租金回报率:二手住宅,中国:广州:可售面积:商品房:住宅,中国:广州:批准预售面积:商品房:住宅,中国:广州:供应土地规划建筑面积:住宅类用地,中国:广州:成交土地规划建筑面积:住宅类用地,上海:城镇常住居民人均可支配收入:累计同比,广东:深圳:居民人均可支配收入:同比,广东:广州:城镇居民人均可支配收入:累计同比,北京:城镇居民人均可支配收入:累计同比,中国:个人住房公积金贷款利率:5年以上,中国:金融机构人民币贷款加权平均利率:个人住房贷款,中国:消费者信心指数:就业,中国:消费者信心指数:收入,中国:消费者信心指数:预期,中国:CPI:当月同比,中国:CPI:环比,中国:CPI:居住:租赁房房租:当月同比,中国:CPI:居住:租赁房房租:环比
2021-12-07,,,,,,,,,,1192.52,,,,,,,,,,,,,523.28,,,,,,,,,,,,,2881163.79,,,,,,,,,,,,,10862353,,,,,,,,,,,,,,,,
2021-12-08,,,,,,,,,,1191.4,,,,,,,,,,,,,520.76,,,,,,,,,,,,,2807526.62,,,,,,,,,,,,,10833552,,,,,,,,,,,,,,,,
2021-12-09,,,,,,,,,,1192.83,,,,,,,,,,,,,517.54,,,,,,,,,,,,,2806019.83,,,,,,,,,,,,,10888297,,,,,,,,,,,,,,,,
2021-12-10,,,,,,,,,,1188.55,,,,,,,,,,,,,514.4,,,,,,,,,,,,,2841313.49,,,,,,,,,,,,,10986030,,,,,,,,,,,,,,,,
2021-12-11,,,,,,,,,,1187.7,,,,,,,,,,,,,511.77,,,,,,,,,,,,,2831552.95,,,,,,,,,,,,,10934875,,,,,,,,,,,,,,,,
2021-12-12,,,,,274973.19,3092,88.93052716688227,,,1186.89,,,,,,,,,,,,,509.68,,,,,,,,42049.46,429,98.01738927738927,,,2819840.83,,,,,,,,,,,,,10901843,,,,,,,,,,,,,,,,
2021-12-13,,189.72,,28.24,,,,,,1201.72,,,,,218.84,,36.37,,,,,,507.75,,,,,263.52,,40.84,,,,,,2885201.88,,,,,217.9,,27.72,,,,,,10884819,,,,,,,,,,,,,,,,
2021-12-14,,,,,,,,,,1204.98,,,,,,,,,,,,,507.3,,,,,,,,,,,,,2858256.98,,,,,,,,,,,,,10861427,,,,,,,,,,,,,,,,
2021-12-15,,,,,,,,,,1204.61,,,,,,,,,,,,,508.3,,,,,,,,,,,,,2882665.78,,,,,,,,,,,,,10949726,,,,,,,,,,,,,,,,
2021-12-16,,,,,,,,,,1197.83,,,,,,,,,,,,,512.4,,,,,,,,,,,,,2887041.64,,,,,,,,,,,,,10941399,,,,,,,,,,,,,,,,
2021-12-17,,,,,,,,,,1193.88,,,,,,,,,,,,,513.14,,,,,,,,,,,,,3010286.83,,,,,,,,,,,,,11241608,,,,,,,,,,,,,,,,
2021-12-18,,,,,,,,,,,,,,,,,,,,,,,510.45,,,,,,,,,,,,,2995170.91,,,,,,,,,,,,,11166692,,,,,,,,,,,,,,,,
2021-12-19,,,,,265708.1,2893,91.84517801590044,,,1188.94,,,,,,,,,,,,,507.76,,,,,,,,43096.53,474,90.92094936708861,,,2972120.82,,,,,,,,,,,,,11111150,,,,,,,,,,,,,,,,
2021-12-20,,189.93,,34.41,,,,,,1189.58,,,,,218.81,,33.29,,,,,,517.6,,,,,263.55,,40.61,,,,,,2951311.28,,,,,217.65,,29.23,,,,,,11070663,,,,,,,,,,,,,,,,
2021-12-21,,,,,,,,,,1192.79,,,,,,,,,,,,,529.62,,,,,,,,,,,,,2932485.75,,,,,,,,,,,,,11077033,,,,,,,,,,,,,,,,
2021-12-22,,,,,,,,,,1209.42,,,,,,,,,,,,,534.35,,,,,,,,,,,,,3054385.82,,,,,,,,,,,,,11054053,,,,,,,,,,,,,,,,
2021-12-23,,,,,,,,,,1206.01,,,,,,,,,,,,,542.65,,,,,,,,,,,,,3036863.79,,,,,,,,,,,,,11158295,,,,,,,,,,,,,,,,
2021-12-24,,,,,,,,,,1207.94,,,,,,,,,,,,,551.81,,,,,,,,,,,,,3051288.99,,,,,,,,,,,,,11281126,,,,,,,,,,,,,,,,
2021-12-25,,,,,,,,,,1207.01,,,,,,,,,,,,,549.56,,,,,,,,,,,,,3030664.16,,,,,,,,,,,,,11150951,,,,,,,,,,,,,,,,
2021-12-26,,,,,316519.83,3570,88.66101680672269,,,1208.38,,,,,,,,,,,,,548.14,,,,,,,,41022.19,439,93.44462414578588,,,3014257.74,,,,,,,,,,,,,11086034,,,,,,,,,,,,,,,,
2021-12-27,,190.01,,32.61,,,,,,1212.53,,,,,218.26,,37.35,,,,,,555.86,,,,,263.91,,40.07,,,,,,2984320.95,,,,,217.34,,33.49,,,,,,11048251,,,,,,,,,,,,,,,,
2021-12-28,,,,,,,,,,1222.22,,,,,,,,,,,,,551.42,,,,,,,,,,,,,2957834.5,,,,,,,,,,,,,11010840,,,,,,,,,,,,,,,,
2021-12-29,,,,,,,,,,1223.56,,,,,,,,,,,,,560.85,,,,,,,,,,,,,2932365.28,,,,,,,,,,,,,11142641,,,,,,,,,,,,,,,,
2021-12-30,,,,,,,,,,1222.68,,,,,,,,,,,,,563.43,,,,,,,,,,,,,2975139.72,,,,,,,,,,,,,11062745,,,,,,,,,,,,,,,,
2021-12-31,942,,104.27,,,,,203,1.41,1209.32,736503.48,0,90.9769,678,,46.39,,,,,268,1.56,587.76,1271221.02,0,253.3591,1214,,29.21,,,,,187,1.1,2992034.21,882806.53,0,0,994,,36.31,,55.18,5823,0.009476215009445,167,1.31,11019339,141.8261,0,63.3946,7.8,9.2,8.9,7.8,3.25,5.63,124.7,117,122.7,1.5,-0.3,0.7,-0.2
2022-01-01,,,,,,,,,,1046.57,,,,,,,,,,,,,582.25,,,,,,,,,,,,,2984071.79,,,,,,,,,,,,,11004805,,,,,,,,,,,,,,,,
2022-01-02,,,,,371452.91,4201,88.42011663889551,,,1046.36,,,,,,,,,,,,,576.93,,,,,,,,46532.31,500,93.06462,,,2978967.67,,,,,,,,,,,,,10993637,,,,,,,,,,,,,,,,
2022-01-03,,190.05,,38.36,,,,,,1040.1,,,,,216.19,,39.51,,,,,,571.16,,,,,263.66,,41.02,,,,,,2974746.25,,,,,217.48,,31.02,,,,,,10984557,,,,,,,,,,,,,,,,
2022-01-04,,,,,,,,,,1054.6,,,,,,,,,,,,,573.04,,,,,,,,,,,,,2970999.02,,,,,,,,,,,,,11030342,,,,,,,,,,,,,,,,
2022-01-05,,,,,,,,,,1049.87,,,,,,,,,,,,,570.25,,,,,,,,,,,,,2948658.89,,,,,,,,,,,,,11050179,,,,,,,,,,,,,,,,
2022-01-06,,,,,,,,,,1056.55,,,,,,,,,,,,,566.16,,,,,,,,,,,,,2913264.05,,,,,,,,,,,,,11015440,,,,,,,,,,,,,,,,
2022-01-07,,,,,,,,,,1069.62,,,,,,,,,,,,,575.48,,,,,,,,,,,,,2908706.06,,,,,,,,,,,,,11052293,,,,,,,,,,,,,,,,
2022-01-08,,,,,,,,,,1066.3,,,,,,,,,,,,,570.03,,,,,,,,,,,,,2898384.08,,,,,,,,,,,,,11017421,,,,,,,,,,,,,,,,
2022-01-09,,,,,197384.87,2191,90.08894112277498,,,1065.81,,,,,,,,,,,,,565.28,,,,,,,,28487.32,307,92.79257328990228,,,2888676.19,,,,,,,,,,,,,10994527,,,,,,,,,,,,,,,,
2022-01-10,,189.78,,36.08,,,,,,1064.38,,,,,216.89,,43.4,,,,,,566.8,,,,,263.87,,39.04,,,,,,2914690.99,,,,,218.11,,33.33,,,,,,10992781,,,,,,,,,,,,,,,,
2022-01-11,,,,,,,,,,1064.26,,,,,,,,,,,,,564.42,,,,,,,,,,,,,2920884.07,,,,,,,,,,,,,10988080,,,,,,,,,,,,,,,,
2022-01-12,,,,,,,,,,1068.18,,,,,,,,,,,,,564.68,,,,,,,,,,,,,2896599.67,,,,,,,,,,,,,10976927,,,,,,,,,,,,,,,,
2022-01-13,,,,,,,,,,1065.75,,,,,,,,,,,,,563.29,,,,,,,,,,,,,2875890.65,,,,,,,,,,,,,11008350,,,,,,,,,,,,,,,,
2022-01-14,,,,,,,,,,1115.01,,,,,,,,,,,,,566.95,,,,,,,,,,,,,2868020.67,,,,,,,,,,,,,10983160,,,,,,,,,,,,,,,,
2022-01-15,,,,,,,,,,1113.25,,,,,,,,,,,,,561.66,,,,,,,,,,,,,2855803.15,,,,,,,,,,,,,10947957,,,,,,,,,,,,,,,,
2022-01-16,,,,,294391.8,3287,89.56245816854275,,,1112.23,,,,,,,,,,,,,560.4,,,,,,,,47136.17,502,93.89675298804781,,,2846585.93,,,,,,,,,,,,,10925886,,,,,,,,,,,,,,,,
2022-01-17,,190.09,,31.88,,,,,,1111.13,,,,,217.54,,44.2,,,,,,561.5,,,,,264.11,,41.94,,,,,,2840111.5,,,,,217.75,,40,,,,,,10912569,,,,,,,,,,,,,,,,
2022-01-18,,,,,,,,,,1110.5,,,,,,,,,,,,,559.47,,,,,,,,,,,,,2828614.14,,,,,,,,,,,,,10923488,,,,,,,,,,,,,,,,
2022-01-19,,,,,,,,,,1106.06,,,,,,,,,,,,,557.16,,,,,,,,,,,,,2810933.89,,,,,,,,,,,,,10947974,,,,,,,,,,,,,,,,
2022-01-20,,,,,,,,,,1107.68,,,,,,,,,,,,,558.9,,,,,,,,,,,,,2802036.31,,,,,,,,,,,,,10947393,,,,,,,,,,,,,,,,
2022-01-21,,,,,,,,,,1117.98,,,,,,,,,,,,,558.43,,,,,,,,,,,,,2811874.95,,,,,,,,,,,,,10959053,,,,,,,,,,,,,,,,
2022-01-22,,,,,,,,,,1104.94,,,,,,,,,,,,,555.18,,,,,,,,,,,,,2791864.47,,,,,,,,,,,,,10923209,,,,,,,,,,,,,,,,
2022-01-23,,,,,290558.65,3144,92.41687340966921,,,1104.52,,,,,,,,,,,,,551.72,,,,,,,,43058.79,463,92.9995464362851,,,2785921.77,,,,,,,,,,,,,10900804,,,,,,,,,,,,,,,,
2022-01-24,,189.98,,32.79,,,,,,1121.85,,,,,216.07,,43.2,,,,,,549.6,,,,,264.03,,37.87,,,,,,2781687.24,,,,,217.94,,30.28,,,,,,10963455,,,,,,,,,,,,,,,,
2022-01-25,,,,,,,,,,1118.61,,,,,,,,,,,,,546.16,,,,,,,,,,,,,2780134.04,,,,,,,,,,,,,10945964,,,,,,,,,,,,,,,,
2022-01-26,,,,,,,,,,1123.21,,,,,,,,,,,,,538.9,,,,,,,,,,,,,2772895.17,,,,,,,,,,,,,10970087,,,,,,,,,,,,,,,,
2022-01-27,,,,,,,,,,1135.56,,,,,,,,,,,,,530.57,,,,,,,,,,,,,2769763.63,,,,,,,,,,,,,10988213,,,,,,,,,,,,,,,,
2022-01-28,,,,,,,,,,1149.28,,,,,,,,,,,,,522.24,,,,,,,,,,,,,2767051.93,,,,,,,,,,,,,11029442,,,,,,,,,,,,,,,,
2022-01-29,,,,,,,,,,1157.8,,,,,,,,,,,,,516.51,,,,,,,,,,,,,2686245.77,,,,,,,,,,,,,11066785,,,,,,,,,,,,,,,,
2022-01-30,,,,,284673.05,3120,91.24136217948718,,,1156.62,,,,,,,,,,,,,514.15,,,,,,,,28546.7,284,100.51654929577465,,,2686094.44,,,,,,,,,,,,,11054195,,,,,,,,,,,,,,,,
2022-01-31,947,189.55,88.48,36.84,,,,199,1.33,,223424.68,175.3618,0,684,216.63,56.66,46.28,,,,270,1.54,514.15,142439.73,0,0,1177,264.45,22.24,38.57,,,,189,1.19,,91505.18,0,0,992,219.72,31.06,37.04,59.01,6229,0.009473430727244,165,1.29,11054001,51.2527,0,0,,,,,3.25,,125.3,119.6,124.5,0.9,0.4,0.6,-0.2
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,514.15,,,,,,,,,,,,,2686094.44,,,,,,,,,,,,,11054001,,,,,,,,,,,,,,,,
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,514.15,,,,,,,,,,,,,2686094.44,,,,,,,,,,,,,11054001,,,,,,,,,,,,,,,,
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,511.53,,,,,,,,,,,,,2686094.44,,,,,,,,,,,,,11054001,,,,,,,,,,,,,,,,
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,508.85,,,,,,,,,,,,,2686094.44,,,,,,,,,,,,,11053915,,,,,,,,,,,,,,,,
2022-02-05,,,,,,,,,,,,,,,,,,,,,,,506.32,,,,,,,,,,,,,2685624.59,,,,,,,,,,,,,11053350,,,,,,,,,,,,,,,,
2022-02-06,,,,,0,0,,,,,,,,,,,,,,,,,503.78,,,,,,,,117.79,1,117.79,,,2685624.59,,,,,,,,,,,,,11052536,,,,,,,,,,,,,,,,
2022-02-07,,189.92,,,,,,,,1144.35,,,,,215.97,,33.33,,,,,,501.58,,,,,264.35,,100,,,,,,2684704.67,,,,,218.11,,66.67,,,,,,11049172,,,,,,,,,,,,,,,,
2022-02-08,,,,,,,,,,1154.79,,,,,,,,,,,,,504.22,,,,,,,,,,,,,2684248.18,,,,,,,,,,,,,11044444,,,,,,,,,,,,,,,,
2022-02-09,,,,,,,,,,1158.9,,,,,,,,,,,,,502.98,,,,,,,,,,,,,2679293.29,,,,,,,,,,,,,11035037,,,,,,,,,,,,,,,,
2022-02-10,,,,,,,,,,1158.35,,,,,,,,,,,,,504.56,,,,,,,,,,,,,2677447.34,,,,,,,,,,,,,11021339,,,,,,,,,,,,,,,,
2022-02-11,,,,,,,,,,1157.29,,,,,,,,,,,,,499.06,,,,,,,,,,,,,2673443.18,,,,,,,,,,,,,11004986,,,,,,,,,,,,,,,,
2022-02-12,,,,,,,,,,1156.04,,,,,,,,,,,,,494.91,,,,,,,,,,,,,2669472.53,,,,,,,,,,,,,10978842,,,,,,,,,,,,,,,,
2022-02-13,,,,,163589.46,1861,87.90406233207953,,,1155.73,,,,,,,,,,,,,492.28,,,,,,,,19551.95,217,90.10115207373272,,,2665314.66,,,,,,,,,,,,,10957106,,,,,,,,,,,,,,,,
2022-02-14,,190.22,,43.9,,,,,,1154.49,,,,,216.28,,53,,,,,,487.03,,,,,263.91,,47.8,,,,,,2660035.87,,,,,218.03,,53.16,,,,,,10942599,,,,,,,,,,,,,,,,
2022-02-15,,,,,,,,,,1152.04,,,,,,,,,,,,,481.76,,,,,,,,,,,,,2652768.84,,,,,,,,,,,,,10922795,,,,,,,,,,,,,,,,
2022-02-16,,,,,,,,,,1153.13,,,,,,,,,,,,,476.69,,,,,,,,,,,,,2646909.86,,,,,,,,,,,,,10904463,,,,,,,,,,,,,,,,
2022-02-17,,,,,,,,,,1155,,,,,,,,,,,,,471.57,,,,,,,,,,,,,2641510.35,,,,,,,,,,,,,10885901,,,,,,,,,,,,,,,,
2022-02-18,,,,,,,,,,1154.18,,,,,,,,,,,,,467.79,,,,,,,,,,,,,2634901.35,,,,,,,,,,,,,10908305,,,,,,,,,,,,,,,,
2022-02-19,,,,,,,,,,1152.66,,,,,,,,,,,,,464.89,,,,,,,,,,,,,2631823.24,,,,,,,,,,,,,10859371,,,,,,,,,,,,,,,,
2022-02-20,,,,,228733.38,2486,92.00860016090104,,,1152.23,,,,,,,,,,,,,457.97,,,,,,,,25458.73,278,91.5781654676259,,,2628989.52,,,,,,,,,,,,,10819864,,,,,,,,,,,,,,,,
2022-02-21,,190.17,,39.58,,,,,,1149.85,,,,,214.57,,42.51,,,,,,464.9,,,,,264.18,,47.87,,,,,,2624779.79,,,,,218.26,,50.86,,,,,,10803285,,,,,,,,,,,,,,,,
2022-02-22,,,,,,,,,,1154.91,,,,,,,,,,,,,478.97,,,,,,,,,,,,,2621254.22,,,,,,,,,,,,,10818006,,,,,,,,,,,,,,,,
2022-02-23,,,,,,,,,,1158.03,,,,,,,,,,,,,477.01,,,,,,,,,,,,,2611133.79,,,,,,,,,,,,,10800388,,,,,,,,,,,,,,,,
2022-02-24,,,,,,,,,,1154.62,,,,,,,,,,,,,478.26,,,,,,,,,,,,,2604450.21,,,,,,,,,,,,,10781227,,,,,,,,,,,,,,,,
2022-02-25,,,,,,,,,,1161.29,,,,,,,,,,,,,478.64,,,,,,,,,,,,,2598737.16,,,,,,,,,,,,,10824150,,,,,,,,,,,,,,,,
2022-02-26,,,,,,,,,,1159.79,,,,,,,,,,,,,477.08,,,,,,,,,,,,,2590029.29,,,,,,,,,,,,,10775707,,,,,,,,,,,,,,,,
2022-02-27,,,,,277734.71,3105,89.44757165861513,,,1159.51,,,,,,,,,,,,,475.26,,,,,,,,31517.73,327,96.38449541284403,,,2585886.13,,,,,,,,,,,,,10740515,,,,,,,,,,,,,,,,
2022-02-28,948,,102.17,33.77,,,,198,1.32,1179.43,262014.37,0,160.9069,682,,68.29,50.81,,,,270,1.54,499.15,1140956.43,450.6334,0,1132,,20.32,42.63,,,,189,1.23,2580582.62,36911.56,0,0,1000,,30.86,37.5,37.25,,,165,1.28,10721762,27.0313,0,0,,,,,3.25,,125,118,123.9,0.9,0.6,0.5,0.1
2022-03-01,,,,,,,,,,983.96,,,,,,,,,,,,,505.39,,,,,,,,,,,,,2578743.88,,,,,,,,,,,,,10723902,,,,,,,,,,,,,,,,
2022-03-02,,,,,,,,,,981,,,,,,,,,,,,,520.58,,,,,,,,,,,,,2573733.34,,,,,,,,,,,,,10731402,,,,,,,,,,,,,,,,
2022-03-03,,,,,,,,,,978.93,,,,,,,,,,,,,521.68,,,,,,,,,,,,,2569948.45,,,,,,,,,,,,,10674847,,,,,,,,,,,,,,,,
2022-03-04,,,,,,,,,,1002.5,,,,,,,,,,,,,517.54,,,,,,,,,,,,,2563393.87,,,,,,,,,,,,,10659007,,,,,,,,,,,,,,,,
2022-03-05,,,,,,,,,,992.68,,,,,,,,,,,,,516.2,,,,,,,,,,,,,2558013.41,,,,,,,,,,,,,10628504,,,,,,,,,,,,,,,,
2022-03-06,,,,,297111.14,3354,88.58412045319022,,,992.3,,,,,,,,,,,,,517.14,,,,,,,,27130.72,288,94.20388888888888,,,2555536.36,,,,,,,,,,,,,10608669,,,,,,,,,,,,,,,,
2022-03-07,,190.2,,35.71,,,,,,1045.4,,,,,215.57,,47.81,,,,,,516.01,,,,,263.84,,38,,,,,,2550192.66,,,,,217.54,,31.62,,,,,,10623321,,,,,,,,,,,,,,,,
2022-03-08,,,,,,,,,,1051.3,,,,,,,,,,,,,517.96,,,,,,,,,,,,,2547025.62,,,,,,,,,,,,,10628212,,,,,,,,,,,,,,,,
2022-03-09,,,,,,,,,,1081.29,,,,,,,,,,,,,516.4,,,,,,,,,,,,,2542289.24,,,,,,,,,,,,,10647774,,,,,,,,,,,,,,,,
2022-03-10,,,,,,,,,,1109.24,,,,,,,,,,,,,520.03,,,,,,,,,,,,,2538285.88,,,,,,,,,,,,,10767337,,,,,,,,,,,,,,,,
2022-03-11,,,,,,,,,,1135.71,,,,,,,,,,,,,523.86,,,,,,,,,,,,,2532311.51,,,,,,,,,,,,,10940250,,,,,,,,,,,,,,,,
2022-03-12,,,,,,,,,,1135.01,,,,,,,,,,,,,522.56,,,,,,,,,,,,,2527256.87,,,,,,,,,,,,,10986472,,,,,,,,,,,,,,,,
2022-03-13,,,,,322252.85,3713,86.79042553191489,,,1134.5,,,,,,,,,,,,,521.54,,,,,,,,24450.19,265,92.2648679245283,,,2524111.94,,,,,,,,,,,,,10964332,,,,,,,,,,,,,,,,
2022-03-14,,190.62,,34.38,,,,,,1135.78,,,,,215.87,,48.46,,,,,,527.44,,,,,263.45,,36.1,,,,,,2523248.56,,,,,217.45,,30.43,,,,,,10969268,,,,,,,,,,,,,,,,
2022-03-15,,,,,,,,,,1150.62,,,,,,,,,,,,,524.62,,,,,,,,,,,,,2522370.4,,,,,,,,,,,,,10969067,,,,,,,,,,,,,,,,
2022-03-16,,,,,,,,,,,,,,,,,,,,,,,526.19,,,,,,,,,,,,,2521606.16,,,,,,,,,,,,,10967591,,,,,,,,,,,,,,,,
2022-03-17,,,,,,,,,,1147.48,,,,,,,,,,,,,510.84,,,,,,,,,,,,,2520692.79,,,,,,,,,,,,,10980457,,,,,,,,,,,,,,,,
2022-03-18,,,,,,,,,,1166.88,,,,,,,,,,,,,522.64,,,,,,,,,,,,,2519315.72,,,,,,,,,,,,,11050773,,,,,,,,,,,,,,,,
2022-03-19,,,,,,,,,,1165.24,,,,,,,,,,,,,519.24,,,,,,,,,,,,,2568413.54,,,,,,,,,,,,,11030968,,,,,,,,,,,,,,,,
2022-03-20,,,,,317386.09,3529,89.93655143100028,,,1164.55,,,,,,,,,,,,,517.09,,,,,,,,2979.46,33,90.28666666666666,,,2567902.64,,,,,,,,,,,,,11002293,,,,,,,,,,,,,,,,
2022-03-21,,190.98,,31.03,,,,,,1169.64,,,,,215.38,,49.28,,,,,,514.79,,,,,264.03,,43.59,,,,,,2565755.27,,,,,219.05,,30.07,,,,,,11006449,,,,,,,,,,,,,,,,
2022-03-22,,,,,,,,,,1174.91,,,,,,,,,,,,,512.28,,,,,,,,,,,,,2559487.06,,,,,,,,,,,,,11007523,,,,,,,,,,,,,,,,
2022-03-23,,,,,,,,,,1167.91,,,,,,,,,,,,,510.94,,,,,,,,,,,,,2554758.81,,,,,,,,,,,,,10992559,,,,,,,,,,,,,,,,
2022-03-24,,,,,,,,,,1180.55,,,,,,,,,,,,,509.27,,,,,,,,,,,,,2547846.9,,,,,,,,,,,,,10908562,,,,,,,,,,,,,,,,
2022-03-25,,,,,,,,,,1176.36,,,,,,,,,,,,,506.81,,,,,,,,,,,,,2543708.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-26,,,,,,,,,,1167.88,,,,,,,,,,,,,506.73,,,,,,,,,,,,,2538968.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-27,,,,,338627.23,3778,89.63134727368978,,,1165.83,,,,,,,,,,,,,506.73,,,,,,,,29851.8,321,92.99626168224299,,,2536291.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-28,,191.01,,36.94,,,,,,1163.22,,,,,212.53,,46.79,,,,,,501.79,,,,,263.57,,43.85,,,,,,2527860.95,,,,,218.16,,33.03,,,,,,,,,,,,,,,,,,,,,,
2022-03-29,,,,,,,,,,1160.19,,,,,,,,,,,,,500.77,,,,,,,,,,,,,2542788.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-30,,,,,,,,,,1157.21,,,,,,,,,,,,,504.49,,,,,,,,,,,,,2530309.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-31,970,,99.55,,,,,199,1.3,1164.42,480611.87,0,0,688,,52.41,,,,,269,1.52,502.95,284863.39,0,20.7822,1164,,24.02,,,,,186,1.18,2515066.21,108488.05,87.7054,0,992,,36.56,,51.1,5452,0.00937270726339,165,1.29,,36.0971,317.5828,0,5,,5,5.1,3.25,5.49,116.1,114.1,116.19999999999999,1.5,0,0.2,0
2022-04-01,,,,,,,,,,1168.25,,,,,,,,,,,,,501.44,,,,,,,,,,,,,2505730.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-02,,,,,,,,,,1188.03,,,,,,,,,,,,,500.83,,,,,,,,,,,,,2491069.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-03,,,,,295483.87,3302,89.48633252574197,,,1183.73,,,,,,,,,,,,,500.39,,,,,,,,39130.7,414,94.51859903381643,,,2474811.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-04,,190.56,,29.55,,,,,,1183.36,,,,,213.41,,50,,,,,,500.01,,,,,263.51,,40.54,,,,,,2468234.65,,,,,218.54,,27.58,,,,,,,,,,,,,,,,,,,,,,
2022-04-05,,,,,,,,,,1183.07,,,,,,,,,,,,,499.6,,,,,,,,,,,,,2462822.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-06,,,,,,,,,,1195.76,,,,,,,,,,,,,499.31,,,,,,,,,,,,,2453093.55,,,,,,,,,,,,,10945197,,,,,,,,,,,,,,,,
2022-04-07,,,,,,,,,,1193.92,,,,,,,,,,,,,498.81,,,,,,,,,,,,,2437840.05,,,,,,,,,,,,,10942246,,,,,,,,,,,,,,,,
2022-04-08,,,,,,,,,,1191.95,,,,,,,,,,,,,498.5,,,,,,,,,,,,,2430526.82,,,,,,,,,,,,,11013654,,,,,,,,,,,,,,,,
